level,parent_theme,theme_name,count,description
1,,Sexuality,240,Discusses the complexities of sexual orientation and the nuances of attraction and relationships.
2,Sexuality,Heterosexuality,1,Refers to attraction to the opposite gender.
2,Sexuality,Homosexuality,1,Refers to attraction to the same gender.
2,Sexuality,Bisexuality,1,Refers to attraction to both men and women.
2,Sexuality,Pansexuality,1,Refers to attraction to people regardless of gender.
2,Sexuality,Asexuality,1,Refers to little or no sexual attraction to others.
2,Sexuality,Questioning,1,Refers to individuals exploring or uncertain about their sexual orientation.
1,,Asexuality,126,Refers to a sexual orientation characterized by a lack of sexual attraction to others.
2,Asexuality,Aromanticism,1,"Mentions lack of romantic attraction, often associated with asexuality."
2,Asexuality,Demisexuality,1,Mentions sexual attraction only after forming strong emotional bonds.
2,Asexuality,Grey-Asexuality,1,Mentions experiencing sexual attraction infrequently or under specific circumstances.
2,Asexuality,Biromanticism,1,Mentions romantic attraction to multiple genders without sexual attraction.
2,Asexuality,Sex-Positive Asexuality,1,Mentions engaging in sexual activities without experiencing sexual attraction.
1,,Panromanticism,22,Describes a romantic orientation where one is attracted to individuals regardless of their gender.
2,Panromanticism,Asexuality,1,Mentions individuals who experience romantic attraction but not sexual attraction.
2,Panromanticism,Pansexuality,1,Mentions individuals who are attracted to others regardless of their gender.
2,Panromanticism,Bisexuality,1,Mentions individuals who are attracted to both men and women.
2,Panromanticism,Queer,1,Mentions individuals who identify with a non-normative sexual orientation or gender identity.
2,Panromanticism,Aromanticism,1,Mentions individuals who experience little to no romantic attraction to others.
1,,Aromanticism,26,"Highlights the absence of romantic attraction, as mentioned in the document."
2,Aromanticism,Aromantic Identity,1,"Discusses the experiences and characteristics of individuals who identify as aromantic, including the lack of romantic attraction and the impact on relationships."
2,Aromanticism,Asexuality,1,"Covers the experiences and characteristics of individuals who identify as asexual, including the lack of sexual attraction and how it influences their lives."
2,Aromanticism,Romantic and Sexual Orientation Spectrum,1,"Explores the diverse range of romantic and sexual orientations, including those who identify as queer, bisexual, straight, and other variations, and how these identities intersect with aromanticism and asexuality."
1,,Family,32,Mentions the roles and experiences related to being a husband and a mother within a community context.
2,Family,Sexual Orientation,1,Discusses various sexual orientations and their impact on personal and family life.
2,Family,Marriage and Parenthood,1,Explores experiences related to marriage and raising children within the family context.
1,,Romanticism,40,Refers to the emotional and romantic attraction experienced in relationships.
2,Romanticism,Sexual Orientation,1,Discusses various sexual orientations and how they relate to romanticism.
2,Romanticism,Romantic Relationships,1,Explores the nature and dynamics of romantic relationships and their influence on individuals' lives.
2,Romanticism,Asexuality and Aromanticism,1,Focuses on the experiences and perspectives of individuals who identify as asexual or aromantic.
1,,Bisexuality,160,"Mentions attraction to multiple genders, indicating a sexual orientation."
2,Bisexuality,Sexual Fluidity,1,Discusses the changing or fluid nature of sexual orientation over time.
2,Bisexuality,Romantic Preferences,1,Mentions specific romantic preferences or inclinations within bisexuality.
2,Bisexuality,Gender Spectrum,1,Refers to attraction to multiple genders beyond the binary male and female.
2,Bisexuality,Asexuality and Bisexuality,1,Discusses the intersection of asexuality with bisexuality.
2,Bisexuality,Queer Identity,1,Refers to identifying as queer in addition to or instead of bisexual.
2,Bisexuality,Coming Out and Identity,1,Discusses experiences related to coming out and embracing bisexual identity.
1,,Love,48,"Mentions a general affection towards others, which can encompass various forms of love."
2,Love,Sexual Orientation,1,Discusses various sexual orientations and how they influence love and relationships.
