Topic,Count,Representation
-1,175,['Gender Identity and Experiences']
0,237,['Gender Identity and Expression']
1,67,"[""Impact of Gender Identity on Women's Life Experiences""]"
2,63,['Cisgender Female Identity']
3,59,['Gender Identity and Biological Sex']
4,54,['Male Identity and Biological Sex']
5,48,['Female Gender Identity']
6,40,['Heterosexual Identity and Gender']
7,35,['Male Gender Identity and Masculinity']
8,26,['Male Identity and Outdoor Lifestyle']
9,25,['Gender Identity and Self-Perception']
10,23,['Female Identity and Motherhood']
11,22,['cisgender male identity']
12,21,['Female Empowerment and Sensitivity']
13,17,['Female Gender Identity Consistency']
14,17,['Feminine Identity and Preferences']
15,16,['Male Identity and Family Responsibility']
16,16,['Male Dominance and Advantage in Social Contexts']
17,10,['Male Gender Identity in Native Traditions']
18,10,['Challenges and Experiences of Identifying as a Woman']
19,9,['Female Identity and Motherhood']
20,7,['Gender Identity and Stability Among Males']
21,7,['Gender Identity and Its Impact on Life']
