Topic,Count,Representation
-1,299,['Exploration of Sexual Orientation and Identity']
0,96,['Heterosexual Attraction to Men']
1,87,['Asexual and Aromantic Experiences']
2,48,['Bisexual Attraction to Men and Women']
3,37,['Heterosexual Identity']
4,33,['Demisexual and Emotional Attraction']
5,33,['Influence of Heterosexuality on Personal Life']
6,29,['Queer Sexuality and Identity']
7,24,['Lesbian Identity and Attraction']
8,24,['Lesbian Identity and Coming Out Experiences']
9,24,['Identification as Gay Man']
10,23,['heterosexual marriage and relationships']
11,20,['Exploration of Pansexuality and Attraction Across Genders']
12,20,['Sexual Orientation and Identity']
13,20,['Experiences of Bisexuality and Family Acceptance']
14,18,['Exploration of Sexual Orientation Beyond Heterosexuality']
15,17,['Heterosexual Identity and Orientation Certainty']
16,17,['Heterosexual Orientation of Women']
17,16,['Understanding Straight Identity and Its Influence on Relationships']
18,16,['The Role of Sexual Orientation in Shaping Identity and Relationships']
19,16,['Navigating Sexuality and Labels with Fluidity']
20,14,['Pansexual Attraction and Identity']
21,12,['Heterosexual Relationships and Experiences with Men']
22,11,['Understanding Bisexuality and Attraction']
23,11,['Experiences of Straight Male Sexual Orientation and Relationships']
24,10,['Heterosexuality and Cultural Perspectives on Sexual Issues']
25,10,['Sexual Orientation - Heterosexual Descriptions']
26,10,['Attraction Spectrum and Gender Identity Exploration']
27,9,['Straight Active Black']
